"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US05059","Hot Spring County, Arkansas","33667","*****","*****","null",
"0500000US05061","Howard County, Arkansas","13267","*****","*****","null",
"0500000US05063","Independence County, Arkansas","37585","*****","*****","null",
"0500000US05065","Izard County, Arkansas","13596","*****","*****","null",
"0500000US05067","Jackson County, Arkansas","16908","*****","*****","null",
"0500000US05069","Jefferson County, Arkansas","68123","*****","*****","null",
"0500000US05071","Johnson County, Arkansas","26475","*****","*****","null",
"0500000US05073","Lafayette County, Arkansas","6728","*****","*****","null",
"0500000US05075","Lawrence County, Arkansas","16511","*****","*****","null",
"0500000US05077","Lee County, Arkansas","8963","*****","*****","null",
"0500000US05079","Lincoln County, Arkansas","13278","*****","*****","null",
"0500000US05081","Little River County, Arkansas","12345","*****","*****","null",
"0500000US05083","Logan County, Arkansas","21619","*****","*****","null",
"0500000US05085","Lonoke County, Arkansas","73163","*****","*****","null",
"0500000US05087","Madison County, Arkansas","16393","*****","*****","null",
"0500000US05089","Marion County, Arkansas","16586","*****","*****","null",
"0500000US05091","Miller County, Arkansas","43515","*****","*****","null",
"0500000US05093","Mississippi County, Arkansas","41396","*****","*****","null",
"0500000US05095","Monroe County, Arkansas","6879","*****","*****","null",
"0500000US05097","Montgomery County, Arkansas","8964","*****","*****","null",
"0500000US05099","Nevada County, Arkansas","8249","*****","*****","null",
"0500000US05101","Newton County, Arkansas","7753","*****","*****","null",
"0500000US05103","Ouachita County, Arkansas","23597","*****","*****","null",
"0500000US05105","Perry County, Arkansas","10342","*****","*****","null",
"0500000US05107","Phillips County, Arkansas","18151","*****","*****","null",
"0500000US05109","Pike County, Arkansas","10714","*****","*****","null",
"0500000US05111","Poinsett County, Arkansas","23747","*****","*****","null",
"0500000US05113","Polk County, Arkansas","19999","*****","*****","null",
"0500000US05115","Pope County, Arkansas","63926","*****","*****","null",
"0500000US05117","Prairie County, Arkansas","8138","*****","*****","null",
"0500000US05119","Pulaski County, Arkansas","393078","*****","*****","null",
"0500000US05121","Randolph County, Arkansas","17934","*****","*****","null",
"0500000US05123","St. Francis County, Arkansas","25477","*****","*****","null",
"0500000US05125","Saline County, Arkansas","120990","*****","*****","null",
"0500000US05127","Scott County, Arkansas","10269","*****","*****","null",
"0500000US05129","Searcy County, Arkansas","7898","*****","*****","null",
"0500000US05131","Sebastian County, Arkansas","127670","*****","*****","null",
"0500000US05133","Sevier County, Arkansas","16947","*****","*****","null",
"0500000US05135","Sharp County, Arkansas","17217","*****","*****","null",
"0500000US05137","Stone County, Arkansas","12582","*****","*****","null",
"0500000US05139","Union County, Arkansas","39089","*****","*****","null",
"0500000US05141","Van Buren County, Arkansas","16578","*****","*****","null",
"0500000US05143","Washington County, Arkansas","236198","*****","*****","null",
"0500000US05145","White County, Arkansas","78725","*****","*****","null",
